Id,Label,timeset,d0,indegree,outdegree,Degree
Opera,Opera,,0,2,0,2
Itaeté,Itaeté,,0,4,0,4
Kingdom Of Hanover,Kingdom Of Hanover,,0,2,0,2
States Of Jersey Customs And Immigration Service,States Of Jersey Customs And Immigration Service,,0,2,0,2
Autosomal Dna,Autosomal Dna,,0,2,0,2
Gendarmerie Nationale Togolaise,Gendarmerie Nationale Togolaise,,0,2,0,2
Subdivisions Of Honduras,Subdivisions Of Honduras,,0,2,0,2
Orbit,Orbit,,0,2,0,2
Germanic Gods,Germanic Gods,,0,2,0,2
Niterói-Class Frigate,Niterói-Class Frigate,,0,2,0,2
Planaltino,Planaltino,,0,4,0,4
Ministry For National Security (Turkmenistan),Ministry For National Security (Turkmenistan),,0,2,0,2
Iso 14000,Iso 14000,,0,2,0,2
Senate Of Iraq,Senate Of Iraq,,0,2,0,2
Lençóis Paulista,Lençóis Paulista,,0,2,0,2
Onda Verde,Onda Verde,,0,2,0,2
Trunk Road,Trunk Road,,0,2,0,2
Air Force Intelligence Directorate,Air Force Intelligence Directorate,,0,2,0,2
Governador Island,Governador Island,,0,5,0,5
Tomé-Açu,Tomé-Açu,,0,5,0,5
Alexandre Tombini,Alexandre Tombini,,0,4,0,4
Currais,Currais,,0,2,0,2
Zélia Cardoso De Mello,Zélia Cardoso De Mello,,0,2,0,2
Striptease,Striptease,,0,2,0,2
Mata Verde,Mata Verde,,0,4,0,4
National Assembly (Bhutan),National Assembly (Bhutan),,0,2,0,2
"Estreito, Maranhão","Estreito, Maranhão",,0,4,0,4
Complexo Do Alemão,Complexo Do Alemão,,0,4,0,4
"Auxiliadora, Rio Grande Do Sul","Auxiliadora, Rio Grande Do Sul",,0,2,0,2
Roman Catholic Diocese Of Propriá,Roman Catholic Diocese Of Propriá,,0,2,0,2
"Canela, Rio Grande Do Sul","Canela, Rio Grande Do Sul",,0,7,0,7
Gravataí,Gravataí,,0,6,0,6
Gaucho,Gaucho,,0,12,0,12
Castrolanda,Castrolanda,,0,3,0,3
History Of Poland During World War I,History Of Poland During World War I,,0,2,0,2
Aroeiras Do Itaim,Aroeiras Do Itaim,,0,2,0,2
Linha Nova,Linha Nova,,0,3,0,3
National Customs Of Bolivia,National Customs Of Bolivia,,0,2,0,2
Strait Of Messina,Strait Of Messina,,0,2,0,2
Intermediate Geographic Region Of Teófilo Otoni,Intermediate Geographic Region Of Teófilo Otoni,,0,4,0,4
Santa Bárbara D'Oeste,Santa Bárbara D'Oeste,,0,26,0,26
General Directorate Of Intelligence,General Directorate Of Intelligence,,0,2,0,2
River,River,,0,5,0,5
Carbon Dioxide In Earth'S Atmosphere,Carbon Dioxide In Earth'S Atmosphere,,0,3,0,3
Public Security Intelligence Agency,Public Security Intelligence Agency,,0,2,0,2
Cachoeiras De Macacu,Cachoeiras De Macacu,,0,6,0,6
Variolation,Variolation,,0,2,0,2
Yamaha Motor Company,Yamaha Motor Company,,0,2,0,2
Xambioá,Xambioá,,0,4,0,4
Religion In Sweden,Religion In Sweden,,0,2,0,2
Coronation Of Napoleon,Coronation Of Napoleon,,0,2,0,2
Ubatuba,Ubatuba,,0,6,0,6
"Baião, Pará","Baião, Pará",,0,4,0,4
Laerte Coutinho,Laerte Coutinho,,0,16,0,16
Wolney Queiroz,Wolney Queiroz,,0,2,0,2
Turiaçu,Turiaçu,,0,3,0,3
Planura,Planura,,0,4,0,4
Lieutenant Colonel,Lieutenant Colonel,,0,3,0,3
"Vila Flor, Rio Grande Do Norte","Vila Flor, Rio Grande Do Norte",,0,2,0,2
Mandioca,Mandioca,,0,2,0,2
True Cross,True Cross,,0,2,0,2
Alphard,Alphard,,0,2,0,2
Birth,Birth,,0,2,0,2
Jewish Religious Movements,Jewish Religious Movements,,0,2,0,2
Directorate Of Territorial Surveillance (Senegal),Directorate Of Territorial Surveillance (Senegal),,0,2,0,2
Lei Federal Do Brasil 2004 De 1953,Lei Federal Do Brasil 2004 De 1953,,0,5,0,5
Amazons,Amazons,,0,3,0,3
Itaíba,Itaíba,,0,2,0,2
Roman Catholic Diocese Of Franca,Roman Catholic Diocese Of Franca,,0,2,0,2
Celso Lafer,Celso Lafer,,0,17,0,17
Itamaraju,Itamaraju,,0,4,0,4
Philip Iv Of Spain,Philip Iv Of Spain,,0,5,0,5
Radio Wave,Radio Wave,,0,3,0,3
Petrópolis,Petrópolis,,0,27,0,27
Border Management Authority (South Africa),Border Management Authority (South Africa),,0,2,0,2
Amazonas Department,Amazonas Department,,0,2,0,2
João Manuel Pereira Da Silva,João Manuel Pereira Da Silva,,0,14,0,14
Malibu Rum,Malibu Rum,,0,2,0,2
"Nossa Senhora Das Dores, Sergipe","Nossa Senhora Das Dores, Sergipe",,0,3,0,3
Political Rights,Political Rights,,0,4,0,4
Dance In Brazil,Dance In Brazil,,0,14,0,14
Piedade Do Rio Grande,Piedade Do Rio Grande,,0,4,0,4
Spanish Inquisition,Spanish Inquisition,,0,2,0,2
Mormaço,Mormaço,,0,3,0,3
Iso 3166-1,Iso 3166-1,,0,3,0,3
Rio Formoso,Rio Formoso,,0,2,0,2
Atol Das Rocas Biological Reserve,Atol Das Rocas Biological Reserve,,0,2,0,2
Ricardo Prado,Ricardo Prado,,0,3,0,3
Estação Primeira De Mangueira,Estação Primeira De Mangueira,,0,19,0,19
History Of South America,History Of South America,,0,3,0,3
1945 Venezuelan Coup D'État,1945 Venezuelan Coup D'État,,0,2,0,2
Frankfurter Kranz,Frankfurter Kranz,,0,2,0,2
"Saitama, Saitama","Saitama, Saitama",,0,2,0,2
Brasil & Movimento,Brasil & Movimento,,0,2,0,2
Bell Pepper,Bell Pepper,,0,2,0,2
Tecno Brega,Tecno Brega,,0,3,0,3
Nauru Customs Service,Nauru Customs Service,,0,2,0,2
Rio Fortuna,Rio Fortuna,,0,2,0,2
Pozol,Pozol,,0,3,0,3
Conservation International,Conservation International,,0,3,0,3
Bonfim Do Piauí,Bonfim Do Piauí,,0,2,0,2
Alto Trás-Os-Montes,Alto Trás-Os-Montes,,0,3,0,3
Negative Income Tax,Negative Income Tax,,0,2,0,2
Iso 31-9,Iso 31-9,,0,2,0,2
Mirandese Language,Mirandese Language,,0,3,0,3
Greece During World War I,Greece During World War I,,0,2,0,2
National Intelligence Agency (Nigeria),National Intelligence Agency (Nigeria),,0,2,0,2
Nikoloz Baratashvili,Nikoloz Baratashvili,,0,4,0,4
Flávio Migliaccio,Flávio Migliaccio,,0,4,0,4
Xingu Languages,Xingu Languages,,0,4,0,4
Revista Complutense De Historia De América,Revista Complutense De Historia De América,,0,2,0,2
Grande Florianópolis,Grande Florianópolis,,0,4,0,4
History Of Serbia,History Of Serbia,,0,2,0,2
Polygyny,Polygyny,,0,2,0,2
Ferraz De Vasconcelos,Ferraz De Vasconcelos,,0,5,0,5
Abreu E Lima,Abreu E Lima,,0,2,0,2
Colonialism,Colonialism,,0,9,0,9
Tropical,Tropical,,0,3,0,3
Maria Louisa Of Spain,Maria Louisa Of Spain,,0,2,0,2
Irituia,Irituia,,0,4,0,4
Mead,Mead,,0,2,0,2
Fuel Oil,Fuel Oil,,0,2,0,2
Savate At The 1924 Summer Olympics,Savate At The 1924 Summer Olympics,,0,4,0,4
Jesus Christ,Jesus Christ,,0,8,0,8
Gong'A Momo,Gong'A Momo,,0,2,0,2
Brazil National Under-17 Football Team,Brazil National Under-17 Football Team,,0,4,0,4
Popular Socialist Party (Brazil),Popular Socialist Party (Brazil),,0,8,0,8
Amaretto,Amaretto,,0,2,0,2
Sunflower,Sunflower,,0,4,0,4
São Miguel Do Anta,São Miguel Do Anta,,0,4,0,4
Br-285,Br-285,,0,3,0,3
Iconha,Iconha,,0,3,0,3
Itainópolis,Itainópolis,,0,2,0,2
Military Police Of Rio De Janeiro State,Military Police Of Rio De Janeiro State,,0,13,0,13
1994 Bond Market Crisis,1994 Bond Market Crisis,,0,3,0,3
Customs Surveillance Service,Customs Surveillance Service,,0,2,0,2
Middle Ages,Middle Ages,,0,3,0,3
Eugenic,Eugenic,,0,7,0,7
Regat Germans,Regat Germans,,0,2,0,2
Monarchy Of Solomon Islands,Monarchy Of Solomon Islands,,0,2,0,2
National Intelligence Service Of Brazil,National Intelligence Service Of Brazil,,0,6,0,6
Battle Of Ölper (1809),Battle Of Ölper (1809),,0,2,0,2
Penal Labour,Penal Labour,,0,4,0,4
Williams Grand Prix Engineering,Williams Grand Prix Engineering,,0,2,0,2
Education In Peru,Education In Peru,,0,2,0,2
Delhi,Delhi,,0,3,0,3
Fugitive Slave Laws,Fugitive Slave Laws,,0,2,0,2
Catholic Church In The United Kingdom,Catholic Church In The United Kingdom,,0,2,0,2
Chancel,Chancel,,0,2,0,2
Dome Of The Rock,Dome Of The Rock,,0,2,0,2
State Customs Committee Of The Republic Of Uzbekistan,State Customs Committee Of The Republic Of Uzbekistan,,0,2,0,2
Right To Health,Right To Health,,0,2,0,2
Mamoré River,Mamoré River,,0,3,0,3
Senate Of Nigeria,Senate Of Nigeria,,0,2,0,2
Miguel Leão,Miguel Leão,,0,2,0,2
Fruit,Fruit,,0,9,0,9
Beth De Oxum,Beth De Oxum,,0,16,0,16
Sofia,Sofia,,0,3,0,3
Wikipedia,Wikipedia,,0,8,0,8
Greek Civil War,Greek Civil War,,0,2,0,2
Narinder Singh Kapany,Narinder Singh Kapany,,0,2,0,2
2019 Amazon Rainforest Wildfires,2019 Amazon Rainforest Wildfires,,0,5,0,5
1998 Russian Financial Crisis,1998 Russian Financial Crisis,,0,6,0,6
Siderúrgica Norte Brasil,Siderúrgica Norte Brasil,,0,3,0,3
Amerindian,Amerindian,,0,17,0,17
Júlio Prestes (Cptm),Júlio Prestes (Cptm),,0,5,0,5
Catholic Church In Cameroon,Catholic Church In Cameroon,,0,2,0,2
Yamaguchi Falcão,Yamaguchi Falcão,,0,3,0,3
Romano-Germanic Culture,Romano-Germanic Culture,,0,2,0,2
João Donato,João Donato,,0,16,0,16
Galley Slave,Galley Slave,,0,4,0,4
Gozinaki,Gozinaki,,0,2,0,2
Track Gauge,Track Gauge,,0,9,0,9
Chacrinha,Chacrinha,,0,16,0,16
Battle Of The Oranges,Battle Of The Oranges,,0,2,0,2
Francesco Hayez,Francesco Hayez,,0,4,0,4
Agencia Nacional De Inteligencia,Agencia Nacional De Inteligencia,,0,2,0,2
Roman Catholic Diocese Of Almenara,Roman Catholic Diocese Of Almenara,,0,2,0,2
Ubaí,Ubaí,,0,4,0,4
Luís Humberto,Luís Humberto,,0,16,0,16
Pontifical Catholic University Of São Paulo,Pontifical Catholic University Of São Paulo,,0,5,0,5
Almino Afonso,Almino Afonso,,0,2,0,2
Docklands Light Railway,Docklands Light Railway,,0,2,0,2
National Seal Of Brazil,National Seal Of Brazil,,0,11,14,25
Rodolfo Garcia,Rodolfo Garcia,,0,14,0,14
State University Of Northern Rio De Janeiro,State University Of Northern Rio De Janeiro,,0,3,0,3
Great Dismal Swamp Maroons,Great Dismal Swamp Maroons,,0,4,0,4
National Order Of Merit (Brazil),National Order Of Merit (Brazil),,0,3,0,3
Nature Conservancy,Nature Conservancy,,0,2,0,2
National Police Of Colombia,National Police Of Colombia,,0,2,0,2
United States Africa Command,United States Africa Command,,0,2,0,2
Biritinga,Biritinga,,0,4,0,4
German Nebraskan,German Nebraskan,,0,2,0,2
Direzione Investigativa Antimafia,Direzione Investigativa Antimafia,,0,2,0,2
Iso 6344,Iso 6344,,0,2,0,2
Ryukyu Kingdom,Ryukyu Kingdom,,0,2,0,2
Capão Do Cipó,Capão Do Cipó,,0,3,0,3
John Machado,John Machado,,0,2,0,2
Battle Of Teugen-Hausen,Battle Of Teugen-Hausen,,0,2,0,2
History Of Germany During World War I,History Of Germany During World War I,,0,2,0,2
1904 Summer Olympics,1904 Summer Olympics,,0,2,0,2
Campeonato Paulista Série A3,Campeonato Paulista Série A3,,0,3,0,3
Bundesgrenzschutz,Bundesgrenzschutz,,0,2,0,2
Subdivisions Of North America,Subdivisions Of North America,,0,2,0,2
Ifigênia Rosa De Oliveira,Ifigênia Rosa De Oliveira,,0,16,0,16
Nova Bréscia,Nova Bréscia,,0,3,0,3
Fish Ball,Fish Ball,,0,2,0,2
Rodovia Dos Imigrantes,Rodovia Dos Imigrantes,,0,3,0,3
Rafael Mendes,Rafael Mendes,,0,2,0,2
Raduan Nassar,Raduan Nassar,,0,5,0,5
Argentine National Gendarmerie,Argentine National Gendarmerie,,0,2,0,2
Science Fiction Comedy,Science Fiction Comedy,,0,2,0,2
Ilha Das Flores,Ilha Das Flores,,0,2,0,2
Guernsey Bean Jar,Guernsey Bean Jar,,0,2,0,2
Ticuna–Yuri Languages,Ticuna–Yuri Languages,,0,2,0,2
Microregion,Microregion,,0,2,0,2
Spanish Colonization Of The Americas,Spanish Colonization Of The Americas,,0,5,0,5
Arataca,Arataca,,0,4,0,4
2012 Summer Olympics,2012 Summer Olympics,,0,5,0,5
Countess Elisabeth Dobržensky De Dobrženicz,Countess Elisabeth Dobržensky De Dobrženicz,,0,2,0,2
Iso 2015,Iso 2015,,0,2,0,2
Brandy,Brandy,,0,2,0,2
Bangladesh–Brazil Relations,Bangladesh–Brazil Relations,,0,6,0,6
Reforms Of Portuguese Orthography,Reforms Of Portuguese Orthography,,0,2,0,2
Morro Da Garça,Morro Da Garça,,0,4,0,4
National Union Of Students (Brazil),National Union Of Students (Brazil),,0,4,0,4
"Santa Isabel, São Paulo","Santa Isabel, São Paulo",,0,2,0,2
Korea Aerospace Research Institute,Korea Aerospace Research Institute,,0,3,0,3
Roman Catholic Diocese Of Jaboticabal,Roman Catholic Diocese Of Jaboticabal,,0,2,0,2
Nasalization,Nasalization,,0,5,0,5
Saudi Arabia Customs Authority,Saudi Arabia Customs Authority,,0,2,0,2
Casa Rosada,Casa Rosada,,0,2,0,2
Buuz,Buuz,,0,2,0,2
Cristais Paulista,Cristais Paulista,,0,2,0,2
Cafuzo,Cafuzo,,0,9,0,9
Interventionism (Politics),Interventionism (Politics),,0,2,0,2
Via (Retailer),Via (Retailer),,0,2,0,2
Arroz Con Pollo,Arroz Con Pollo,,0,2,0,2
Eusébio Scheid,Eusébio Scheid,,0,2,0,2
Senate Of Paraguay,Senate Of Paraguay,,0,2,0,2
Tropical And Subtropical Dry Broadleaf Forests,Tropical And Subtropical Dry Broadleaf Forests,,0,2,0,2
U.S. Citizens,U.S. Citizens,,0,2,0,2
Rowing Boat,Rowing Boat,,0,2,0,2
Governorate General Of Brazil,Governorate General Of Brazil,,0,12,141,153
Cobalt Silver Rush,Cobalt Silver Rush,,0,2,0,2
Infante Carlos Of Portugal,Infante Carlos Of Portugal,,0,6,0,6
Santa Bárbara Do Pará,Santa Bárbara Do Pará,,0,4,0,4
Joracy Camargo,Joracy Camargo,,0,14,0,14
Henry Kissinger,Henry Kissinger,,0,4,0,4
Border Guard Group (United Arab Emirates),Border Guard Group (United Arab Emirates),,0,2,0,2
Angelim,Angelim,,0,2,0,2
Fernando Prestes De Albuquerque,Fernando Prestes De Albuquerque,,0,2,0,2
Highland Potato Famine,Highland Potato Famine,,0,3,0,3
Itumbiara,Itumbiara,,0,3,0,3
Aorist,Aorist,,0,2,0,2
"Boa Vista, Rio Grande Do Sul","Boa Vista, Rio Grande Do Sul",,0,2,0,2
Brazil Men'S National Ice Hockey Team,Brazil Men'S National Ice Hockey Team,,0,4,0,4
1906 Brazilian Legislative Election,1906 Brazilian Legislative Election,,0,8,0,8
Santa Isabel Theater,Santa Isabel Theater,,0,2,0,2
Czechoslovakia,Czechoslovakia,,0,5,0,5
Caribbean Literature,Caribbean Literature,,0,3,0,3
Sgdc,Sgdc,,0,3,0,3
Laurindo Rabelo,Laurindo Rabelo,,0,15,0,15
Grigol Orbeliani,Grigol Orbeliani,,0,4,0,4
Levy Fidelix,Levy Fidelix,,0,7,0,7
1930 Bolivian Coup D'État,1930 Bolivian Coup D'État,,0,2,0,2
"Cedro, Pernambuco","Cedro, Pernambuco",,0,2,0,2
Ismael Ivo,Ismael Ivo,,0,16,0,16
Outline Of Telecommunication,Outline Of Telecommunication,,0,2,0,2
"Charles William Ferdinand, Duke Of Brunswick","Charles William Ferdinand, Duke Of Brunswick",,0,2,0,2
Montserrat,Montserrat,,0,2,0,2
Mobilis (Automaker),Mobilis (Automaker),,0,2,0,2
Utc,Utc,,0,6,0,6
House Of Representatives (Egypt),House Of Representatives (Egypt),,0,2,0,2
Infanta Isabel Maria Of Braganza,Infanta Isabel Maria Of Braganza,,0,2,0,2
House Of Representatives (Japan),House Of Representatives (Japan),,0,2,0,2
Slavery In The British And French Caribbean,Slavery In The British And French Caribbean,,0,5,0,5
Aracatu,Aracatu,,0,4,0,4
1977 Brazilian Grand Prix,1977 Brazilian Grand Prix,,0,2,0,2
Araci,Araci,,0,6,0,6
Neo-Assyrian Empire,Neo-Assyrian Empire,,0,2,0,2
Department Of Immigration (Lesotho),Department Of Immigration (Lesotho),,0,2,0,2
Nonoai,Nonoai,,0,3,0,3
Réunion,Réunion,,0,2,0,2
Cervical Lock,Cervical Lock,,0,2,0,2
Brazilian Armed Forces,Brazilian Armed Forces,,0,181,304,485
General Salgado,General Salgado,,0,2,0,2
Cradle Of Civilization,Cradle Of Civilization,,0,2,0,2
Aldir Blanc,Aldir Blanc,,0,2,0,2
Digital Revolution,Digital Revolution,,0,4,0,4
Saxe-Coburg,Saxe-Coburg,,0,2,0,2
Nuremberg Trials,Nuremberg Trials,,0,2,0,2
Parliament Of Saint Lucia,Parliament Of Saint Lucia,,0,2,0,2
Lovisa Von Burghausen,Lovisa Von Burghausen,,0,2,0,2
Ivory Coast,Ivory Coast,,0,12,289,301
Teixeira De Freitas,Teixeira De Freitas,,0,4,0,4
Moacyr Scliar,Moacyr Scliar,,0,27,0,27
Divino De São Lourenço,Divino De São Lourenço,,0,3,0,3
Coordinator Of Indigenous Organizations Of The Amazon River Basin,Coordinator Of Indigenous Organizations Of The Amazon River Basin,,0,3,0,3
Eurocopter As532 Cougar,Eurocopter As532 Cougar,,0,2,0,2
"Santa Helena, Maranhão","Santa Helena, Maranhão",,0,3,0,3
Catholic Church In Vietnam,Catholic Church In Vietnam,,0,2,0,2
Religion In Spain,Religion In Spain,,0,2,0,2
Pykobjê People,Pykobjê People,,0,3,0,3
Urupá,Urupá,,0,2,0,2
Br-280,Br-280,,0,4,0,4
1984 Tournament Of The Americas,1984 Tournament Of The Americas,,0,2,0,2
João Carlos De Souza Gomes,João Carlos De Souza Gomes,,0,16,0,16
Rodrigo Medeiros,Rodrigo Medeiros,,0,2,0,2
Indonesian Cuisine,Indonesian Cuisine,,0,3,0,3
Chocolate-Covered Almonds,Chocolate-Covered Almonds,,0,2,0,2
Jagunço,Jagunço,,0,2,0,2
Purí People,Purí People,,0,2,0,2
Agenzia Informazioni E Sicurezza Esterna,Agenzia Informazioni E Sicurezza Esterna,,0,2,0,2
National Assembly (Lesotho),National Assembly (Lesotho),,0,2,0,2
Lajeado Do Bugre,Lajeado Do Bugre,,0,3,0,3
Receita Federal Do Brasil,Receita Federal Do Brasil,,0,3,0,3
Puma (Car Manufacturer),Puma (Car Manufacturer),,0,2,0,2
Edvaldo Valério,Edvaldo Valério,,0,3,0,3
Mageu,Mageu,,0,2,0,2
Territory (Administrative Division),Territory (Administrative Division),,0,2,0,2
Bento Gonçalves Da Silva,Bento Gonçalves Da Silva,,0,4,0,4
Cinézio Feliciano Peçanha,Cinézio Feliciano Peçanha,,0,2,0,2
Indian Immigration To Brazil,Indian Immigration To Brazil,,0,22,0,22
Jun-Ichi Nishizawa,Jun-Ichi Nishizawa,,0,2,0,2
Amazonian Jews,Amazonian Jews,,0,22,0,22
Russian Republic,Russian Republic,,0,2,0,2
Cisplatina,Cisplatina,,0,23,17,40
Alexander Graham Bell,Alexander Graham Bell,,0,4,0,4
Aspásia,Aspásia,,0,2,0,2
Lawyer,Lawyer,,0,5,0,5
Limoncello,Limoncello,,0,2,0,2
Jarbas Vasconcelos,Jarbas Vasconcelos,,0,13,0,13
As Minas De Prata,As Minas De Prata,,0,3,0,3
French People,French People,,0,6,0,6
Cuíca,Cuíca,,0,3,0,3
Olímpio Mourão Filho,Olímpio Mourão Filho,,0,3,0,3
Rafaela Zanella,Rafaela Zanella,,0,2,0,2
Religion In Bulgaria,Religion In Bulgaria,,0,2,0,2
First French Empire,First French Empire,,0,9,0,9
Western Europe,Western Europe,,0,3,0,3
Almeida Garrett,Almeida Garrett,,0,5,0,5
Battle Of Alfarrobeira,Battle Of Alfarrobeira,,0,3,0,3
Gaúcho Dialect,Gaúcho Dialect,,0,3,0,3
Pietro Maria Bardi,Pietro Maria Bardi,,0,18,0,18
Feijoada,Feijoada,,0,11,145,156
Felício Dos Santos,Felício Dos Santos,,0,4,0,4
Catherine Of Braganza,Catherine Of Braganza,,0,5,0,5
Battle Of Campo Tenese,Battle Of Campo Tenese,,0,2,0,2
Westphalia,Westphalia,,0,6,0,6
Eswatini Immigration Department,Eswatini Immigration Department,,0,2,0,2
Ministry Of Culture (Brazil),Ministry Of Culture (Brazil),,0,4,0,4
Tag Question,Tag Question,,0,2,0,2
Race And Ethnicity In Suriname,Race And Ethnicity In Suriname,,0,2,0,2
Feast Of The Cross,Feast Of The Cross,,0,3,0,3
Timo Glock,Timo Glock,,0,2,0,2
Order Of Christ (Portugal),Order Of Christ (Portugal),,0,7,0,7
Brazilian Cruzado,Brazilian Cruzado,,0,3,0,3
Hyperinflation In Early Soviet Russia,Hyperinflation In Early Soviet Russia,,0,3,0,3
Universidade Federal Fluminense,Universidade Federal Fluminense,,0,6,0,6
Rio De Janeiro Province,Rio De Janeiro Province,,0,2,0,2
Preromanticism,Preromanticism,,0,4,0,4
Iaçu,Iaçu,,0,4,0,4
Porcupine Gold Rush,Porcupine Gold Rush,,0,2,0,2
Sumo At The World Games,Sumo At The World Games,,0,4,0,4
1998–1999 Ecuador Economic Crisis,1998–1999 Ecuador Economic Crisis,,0,3,0,3
Slavery In Poland,Slavery In Poland,,0,4,0,4
Nikuman,Nikuman,,0,2,0,2
Lauro César Muniz,Lauro César Muniz,,0,16,0,16
Bay Of All Saints,Bay Of All Saints,,0,6,0,6
Estácio De Sá Universities,Estácio De Sá Universities,,0,5,0,5
Cha Siu Bao,Cha Siu Bao,,0,2,0,2
Spanish Dialects And Varieties,Spanish Dialects And Varieties,,0,2,0,2
Private Desert,Private Desert,,0,4,0,4
Treaty Of Lunéville,Treaty Of Lunéville,,0,2,0,2
Pimenta Bueno,Pimenta Bueno,,0,2,0,2
Almir Narayamoga Suruí,Almir Narayamoga Suruí,,0,16,0,16
Duhat Wine,Duhat Wine,,0,2,0,2
Caliphate,Caliphate,,0,2,0,2
Vietnamese Brazilians,Vietnamese Brazilians,,0,22,0,22
Battle Of Waren-Nossentin,Battle Of Waren-Nossentin,,0,2,0,2
2015 Brazilian Drought,2015 Brazilian Drought,,0,2,0,2
Intelligence Protection Organization Of Army Of The Guardians Of The Islamic Revolution,Intelligence Protection Organization Of Army Of The Guardians Of The Islamic Revolution,,0,2,0,2
Common Logic,Common Logic,,0,2,0,2
Federal Office For Migration And Refugees,Federal Office For Migration And Refugees,,0,2,0,2
Police Of The Czech Republic,Police Of The Czech Republic,,0,2,0,2
Neolithic,Neolithic,,0,2,0,2
Directorate General Of Customs And Excise (Palestine),Directorate General Of Customs And Excise (Palestine),,0,2,0,2
Line 17 (São Paulo Metro),Line 17 (São Paulo Metro),,0,2,0,2
1919 South American Championship,1919 South American Championship,,0,2,0,2
Eduardo Jorge,Eduardo Jorge,,0,3,0,3
Cantabrian Dialect,Cantabrian Dialect,,0,2,0,2
Martine Grael,Martine Grael,,0,2,0,2
Jacareacanga Revolt,Jacareacanga Revolt,,0,2,0,2
Omar Aziz,Omar Aziz,,0,14,0,14
"Extrema, Minas Gerais","Extrema, Minas Gerais",,0,4,0,4
Guilherme De Almeida,Guilherme De Almeida,,0,16,0,16
Hero,Hero,,0,5,0,5
Brazilian Jiu-Jitsu Ranking System,Brazilian Jiu-Jitsu Ranking System,,0,2,0,2
1934 Bolivian Coup D'État,1934 Bolivian Coup D'État,,0,2,0,2
Gustav Schwab,Gustav Schwab,,0,4,0,4
Thaisa Thomsen,Thaisa Thomsen,,0,2,0,2
Italkian,Italkian,,0,2,0,2
Outline Of World War I,Outline Of World War I,,0,2,0,2
Iyojwa'Ja Chorote Language,Iyojwa'Ja Chorote Language,,0,2,0,2
Portuguese Tile,Portuguese Tile,,0,2,0,2
Xaxim,Xaxim,,0,4,0,4
Energy In Peru,Energy In Peru,,0,2,0,2
Arguin,Arguin,,0,7,0,7
Immigration And Checkpoints Authority,Immigration And Checkpoints Authority,,0,2,0,2
José De Anchieta,José De Anchieta,,0,8,0,8
Dominican Republic Cuisine,Dominican Republic Cuisine,,0,2,0,2
Bastion,Bastion,,0,2,0,2
Brejolândia,Brejolândia,,0,4,0,4
Carlos Latuff,Carlos Latuff,,0,2,0,2
Chico Mendes,Chico Mendes,,0,3,0,3
Totalitarianism,Totalitarianism,,0,4,0,4
Ultraviolet Index,Ultraviolet Index,,0,2,0,2
Universidade Estadual De Campinas,Universidade Estadual De Campinas,,0,6,0,6
Pmdb,Pmdb,,0,4,0,4
Roman Catholic Diocese Of Picos,Roman Catholic Diocese Of Picos,,0,2,0,2
Belize Customs & Excise Department,Belize Customs & Excise Department,,0,2,0,2
Senate Of Eswatini,Senate Of Eswatini,,0,2,0,2
Floriano Peixoto,Floriano Peixoto,,0,25,0,25
Federal Bureau Of Investigation,Federal Bureau Of Investigation,,0,2,0,2
Cristópolis,Cristópolis,,0,4,0,4
Envira,Envira,,0,4,0,4
Kazushi Sakuraba,Kazushi Sakuraba,,0,2,0,2
José Wilker,José Wilker,,0,2,0,2
Interreligious Marriage,Interreligious Marriage,,0,2,0,2
Roseira,Roseira,,0,2,0,2
Jewish Population By Country,Jewish Population By Country,,0,3,0,3
Nelson Sargento,Nelson Sargento,,0,16,0,16
Travesseiro,Travesseiro,,0,3,0,3
Vanillekipferl,Vanillekipferl,,0,2,0,2
Oghi (Drink),Oghi (Drink),,0,2,0,2
Inca Empire,Inca Empire,,0,5,0,5
Juracy Magalhães,Juracy Magalhães,,0,3,0,3
Princess Of Brazil,Princess Of Brazil,,0,2,0,2
Germans In Azerbaijan,Germans In Azerbaijan,,0,2,0,2
Limeira Do Oeste,Limeira Do Oeste,,0,4,0,4
"Santa Cecília, Porto Alegre","Santa Cecília, Porto Alegre",,0,2,0,2
Port Of Paranaguá,Port Of Paranaguá,,0,4,0,4
Business Insider,Business Insider,,0,3,0,3
Revalenta Arabica,Revalenta Arabica,,0,2,0,2
Service De Renseignement De L'État,Service De Renseignement De L'État,,0,2,0,2
Oil Spill,Oil Spill,,0,2,0,2
Roman Catholic Diocese Of Ilhéus,Roman Catholic Diocese Of Ilhéus,,0,2,0,2
Italian Empire,Italian Empire,,0,3,0,3
Sepultura,Sepultura,,0,3,0,3
Linguistic Areas Of The Americas,Linguistic Areas Of The Americas,,0,2,0,2
Jacarepaguá,Jacarepaguá,,0,4,0,4
Slavery In Oman,Slavery In Oman,,0,4,0,4
Portuguese Army,Portuguese Army,,0,3,0,3
Jadson De Brito Lima,Jadson De Brito Lima,,0,2,0,2
African Portuguese,African Portuguese,,0,2,0,2
"Harmonia, Rio Grande Do Sul","Harmonia, Rio Grande Do Sul",,0,3,0,3
Kati Almeida Braga,Kati Almeida Braga,,0,16,0,16
Scandinavian Brazilian,Scandinavian Brazilian,,0,23,0,23
Río Grande (Bolivia),Río Grande (Bolivia),,0,2,0,2
110 Film,110 Film,,0,2,0,2
Pilão Arcado,Pilão Arcado,,0,5,0,5
Barasana,Barasana,,0,3,0,3
Catholic Church In Suriname,Catholic Church In Suriname,,0,2,0,2
